User ID,Age,Gender,Country,Purchase Amount,Product Category
1,56.0,Female,USA,331.79,Sports
2,69.0,Male,Australia,335.72,Home & Kitchen
4,32.0,Male,Germany,80.97,Sports
7,38.0,Female,Canada,222.2,Beauty
8,56.0,Male,USA,217.27,Sports
9,36.0,Male,Australia,116.53,Clothing
10,40.0,Female,France,255.9,Home & Kitchen
11,28.0,Female,Australia,223.88,Beauty
13,41.0,Female,USA,224.16,Books
14,53.0,Male,Canada,195.0,Books
15,57.0,Male,USA,470.25,Books
17,20.0,Other,Australia,420.75,Clothing
19,19.0,Male,Canada,136.53,Electronics
20,41.0,Male,France,422.25,Beauty
21,61.0,Other,UK,206.28,Beauty
25,38.0,Male,Canada,46.31,Electronics
27,29.0,Female,Australia,411.87,Books
29,61.0,Male,Australia,253.12,Electronics
30,42.0,Male,Germany,338.03,Clothing
31,66.0,Other,Canada,96.86,Beauty
32,44.0,Male,France,335.54,Home & Kitchen
35,33.0,Male,France,260.56,Electronics
36,32.0,Female,UK,472.22,Electronics
37,64.0,Female,France,241.69,Beauty
38,68.0,Female,USA,219.38,Beauty
40,69.0,Male,France,183.07,Clothing
41,20.0,Other,USA,87.5,Home & Kitchen
46,26.0,Male,Australia,34.83,Electronics
48,35.0,Female,Australia,440.22,Books
51,31.0,Other,UK,62.48,Books
52,67.0,Male,USA,450.4,Home & Kitchen
53,26.0,Other,USA,352.31,Electronics
54,43.0,Male,Australia,483.27,Clothing
56,37.0,Female,France,451.79,Clothing
59,24.0,Female,UK,7.85,Beauty
61,25.0,Female,Canada,276.72,Beauty
64,31.0,Female,France,372.63,Beauty
65,34.0,Male,Canada,499.92,Clothing
66,53.0,Female,France,356.72,Electronics
68,57.0,Other,France,328.95,Home & Kitchen
69,21.0,Female,USA,349.13,Beauty
70,19.0,Female,France,174.35,Beauty
72,59.0,Other,UK,393.25,Books
74,46.0,Other,Australia,380.83,Beauty
75,35.0,Male,USA,407.85,Beauty
77,61.0,Other,France,455.52,Beauty
78,51.0,Male,Australia,239.18,Clothing
79,27.0,Male,France,93.15,Books
80,53.0,Male,UK,183.89,Books
81,31.0,Male,France,453.4,Beauty
