User ID,encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9
1,0.30548567,-0.76746815,0.50856966,-0.3029104,-0.3485601,1.0891733,0.39096165,-0.47852552,0.14574964,0.6643073
2,-0.5671582,1.0143247,1.045437,-0.6009685,-0.21417832,0.38864514,0.37710297,0.27784258,0.8608635,-0.9013418
4,-0.0074769612,-0.20731163,-1.1597779,0.25121596,0.889688,0.24266589,-0.033693824,-0.015237189,0.24441777,0.6255022
7,0.7894445,0.43993407,-0.5891041,0.44637397,-0.3007635,0.0031589526,0.19747885,-0.6657482,0.14347683,-0.13979904
8,-0.26932532,-0.34980243,-0.030921334,-0.6181761,0.37093785,1.1326749,0.046417076,-0.18889533,0.19511633,0.6743982
9,-0.4496855,-0.09485054,-0.9612608,0.12415496,0.60314626,0.16409902,0.41636935,0.42799163,0.5891559,-0.8125255
10,0.50340295,-0.14824577,0.7307773,-0.07556963,0.4609959,-0.5393382,0.52725655,0.40726656,-0.37152547,-0.055770673
11,0.29697934,-0.21398927,-0.42243895,0.94755894,0.11031442,0.3286512,0.1720896,-0.7313118,-0.28588656,-0.9070209
13,0.97433674,-0.14202663,0.5753623,0.18971963,0.5466119,0.55897444,-0.3770487,-0.1236021,-0.14524503,0.15241672
14,0.2920363,1.3729385,-0.08905689,-0.1149855,0.20194148,-0.1673232,-0.22922021,-0.08583518,0.48423144,0.20954727
15,0.17070872,0.75234336,1.3294667,-0.2375323,-0.42480242,1.5244459,-0.24526387,0.24791676,-0.44832975,0.34074306
17,-0.39827234,-0.58625275,-0.43034622,0.9333572,-1.0806822,0.25874597,0.17484692,1.0768967,-0.6022909,-0.919093
19,0.3976485,0.5136524,-1.5382184,0.28735614,0.42441347,-0.76666754,0.21143672,0.4250025,-0.5248182,-0.26805168
20,-0.37612924,0.356821,0.6603953,0.050161693,-0.13486294,0.8408359,0.4792284,-0.20418288,-1.3379239,0.1713379
21,-0.25022265,0.056317575,-0.029076515,-1.0663698,-0.32088053,0.34732205,-0.6734683,-1.1241525,-0.046396483,-0.32389024
