User ID,Age,Gender,Country,Purchase Amount,Purchase Date,Product Category,Cluster
1,56.0,Female,USA,331.79,2021-11-21,Sports,3
2,69.0,Male,Australia,335.72,2022-03-05,Home & Kitchen,3
4,32.0,Male,Germany,80.97,2023-06-08,Sports,2
7,38.0,Female,Canada,222.2,2022-02-23,Beauty,0
8,56.0,Male,USA,217.27,2021-09-08,Sports,0
9,36.0,Male,Australia,116.53,2022-06-04,Clothing,2
10,40.0,Female,France,255.9,2020-01-23,Home & Kitchen,3
11,28.0,Female,Australia,223.88,2022-03-17,Beauty,0
13,41.0,Female,USA,224.16,2023-05-02,Books,0
14,53.0,Male,Canada,195.0,2020-09-22,Books,0
15,57.0,Male,USA,470.25,2020-03-23,Books,1
17,20.0,Other,Australia,420.75,2021-10-16,Clothing,1
19,19.0,Male,Canada,136.53,2020-12-09,Electronics,0
20,41.0,Male,France,422.25,2020-01-12,Beauty,1
21,61.0,Other,UK,206.28,2021-03-25,Beauty,0
25,38.0,Male,Canada,46.31,2023-04-05,Electronics,2
27,29.0,Female,Australia,411.87,2021-04-09,Books,1
29,61.0,Male,Australia,253.12,2021-09-08,Electronics,3
30,42.0,Male,Germany,338.03,2020-01-07,Clothing,3
31,66.0,Other,Canada,96.86,2022-10-03,Beauty,2
32,44.0,Male,France,335.54,2023-04-01,Home & Kitchen,3
35,33.0,Male,France,260.56,2020-11-14,Electronics,3
36,32.0,Female,UK,472.22,2020-05-09,Electronics,1
37,64.0,Female,France,241.69,2020-04-18,Beauty,0
38,68.0,Female,USA,219.38,2020-08-06,Beauty,0
40,69.0,Male,France,183.07,2021-03-04,Clothing,0
41,20.0,Other,USA,87.5,2021-10-03,Home & Kitchen,2
46,26.0,Male,Australia,34.83,2023-07-02,Electronics,2
48,35.0,Female,Australia,440.22,2021-02-12,Books,1
51,31.0,Other,UK,62.48,2022-02-15,Books,2
52,67.0,Male,USA,450.4,2020-07-12,Home & Kitchen,1
53,26.0,Other,USA,352.31,2022-08-20,Electronics,3
54,43.0,Male,Australia,483.27,2023-10-19,Clothing,1
56,37.0,Female,France,451.79,2020-12-29,Clothing,1
59,24.0,Female,UK,7.85,2022-12-20,Beauty,2
61,25.0,Female,Canada,276.72,2023-02-14,Beauty,3
64,31.0,Female,France,372.63,2023-03-07,Beauty,3
65,34.0,Male,Canada,499.92,2021-12-30,Clothing,1
66,53.0,Female,France,356.72,2021-04-02,Electronics,3
68,57.0,Other,France,328.95,2023-01-10,Home & Kitchen,3
69,21.0,Female,USA,349.13,2022-04-28,Beauty,3
70,19.0,Female,France,174.35,2021-12-14,Beauty,0
72,59.0,Other,UK,393.25,2020-12-09,Books,1
74,46.0,Other,Australia,380.83,2020-08-23,Beauty,1
75,35.0,Male,USA,407.85,2021-10-24,Beauty,1
77,61.0,Other,France,455.52,2023-02-20,Beauty,1
78,51.0,Male,Australia,239.18,2022-08-29,Clothing,0
79,27.0,Male,France,93.15,2020-09-02,Books,2
80,53.0,Male,UK,183.89,2023-07-01,Books,0
81,31.0,Male,France,453.4,2021-07-19,Beauty,1
83,65.0,Male,UK,213.82,2022-07-03,Home & Kitchen,0
84,32.0,Female,Germany,87.59,2020-10-07,Beauty,2
85,25.0,Female,UK,146.73,2020-03-07,Beauty,0
86,31.0,Female,Germany,278.88,2020-06-23,Clothing,3
87,40.0,Female,Canada,288.19,2023-04-29,Beauty,3
88,57.0,Other,USA,316.88,2020-10-11,Sports,3
89,38.0,Male,USA,418.5,2020-10-31,Clothing,1
91,62.0,Male,France,134.12,2022-03-03,Beauty,0
92,35.0,Male,Australia,200.55,2021-02-10,Home & Kitchen,0
94,41.0,Female,Canada,318.52,2020-10-31,Sports,3
96,42.0,Other,Canada,166.14,2021-10-30,Home & Kitchen,0
98,58.0,Male,Canada,90.19,2021-07-04,Home & Kitchen,2
100,32.0,Female,USA,283.95,2023-09-22,Clothing,3
101,62.0,Other,Canada,78.0,2022-11-19,Sports,2
102,18.0,Other,Canada,346.0,2021-03-15,Clothing,3
103,42.0,Female,Germany,75.46,2020-09-14,Clothing,2
104,24.0,Other,UK,202.23,2022-02-21,Electronics,0
107,18.0,Female,France,392.27,2020-01-26,Books,1
108,61.0,Male,France,88.32,2021-06-06,Electronics,2
109,25.0,Female,USA,406.94,2021-01-18,Electronics,1
110,41.0,Male,France,8.57,2021-01-27,Electronics,2
111,28.0,Other,Australia,267.38,2021-04-06,Home & Kitchen,3
112,68.0,Female,Australia,260.81,2022-04-18,Home & Kitchen,3
113,34.0,Female,Australia,313.79,2023-03-07,Home & Kitchen,3
114,25.0,Male,Australia,123.65,2022-01-06,Beauty,0
115,52.0,Female,Germany,9.88,2020-04-19,Home & Kitchen,2
116,52.0,Other,UK,230.11,2023-09-13,Clothing,0
117,50.0,Other,USA,40.35,2020-07-24,Electronics,2
120,56.0,Female,USA,215.49,2020-07-03,Sports,0
121,58.0,Male,UK,219.83,2021-08-24,Books,0
122,45.0,Other,France,278.67,2022-01-28,Clothing,3
123,24.0,Female,Germany,392.35,2023-11-07,Books,1
126,29.0,Female,Canada,386.7,2021-02-02,Clothing,1
127,51.0,Male,Germany,45.68,2021-06-28,Electronics,2
130,40.0,Female,UK,144.93,2022-09-04,Home & Kitchen,0
131,41.0,Other,USA,227.31,2020-11-09,Books,0
133,52.0,Other,Australia,402.92,2021-10-19,Sports,1
137,44.0,Female,Germany,349.18,2020-10-26,Electronics,3
138,52.0,Other,Canada,182.29,2022-07-15,Beauty,0
139,18.0,Female,Australia,85.4,2023-07-12,Clothing,2
141,54.0,Other,UK,363.17,2022-01-11,Beauty,3
142,64.0,Male,UK,163.8,2023-10-30,Electronics,0
144,20.0,Other,France,415.62,2022-11-08,Beauty,1
146,22.0,Other,USA,258.84,2021-06-20,Electronics,3
147,43.0,Other,USA,347.21,2023-05-15,Sports,3
148,31.0,Male,Canada,161.95,2023-09-10,Beauty,0
149,56.0,Other,Australia,326.08,2020-03-15,Home & Kitchen,3
150,44.0,Female,USA,232.56,2023-12-12,Books,0
151,26.0,Other,Canada,287.37,2023-09-13,Clothing,3
152,32.0,Other,Canada,297.34,2023-07-28,Home & Kitchen,3
155,59.0,Female,Australia,135.83,2021-08-31,Beauty,0
158,49.0,Male,France,452.69,2022-02-23,Home & Kitchen,1
159,56.0,Male,Australia,471.34,2020-08-28,Sports,1
160,66.0,Female,Canada,51.59,2020-01-05,Electronics,2
161,69.0,Male,Australia,246.09,2023-05-23,Books,0
162,49.0,Other,France,80.04,2021-05-01,Books,2
163,21.0,Other,Canada,474.63,2020-12-22,Electronics,1
164,47.0,Male,France,127.18,2021-01-28,Home & Kitchen,0
165,54.0,Other,Germany,253.32,2023-03-24,Electronics,3
166,40.0,Female,UK,86.98,2023-11-15,Beauty,2
167,56.0,Other,UK,169.72,2021-01-03,Electronics,0
168,62.0,Male,Canada,137.07,2020-01-29,Home & Kitchen,0
169,32.0,Female,Australia,240.34,2023-12-17,Books,0
170,60.0,Other,France,212.79,2022-08-23,Sports,0
171,46.0,Female,USA,168.74,2020-01-09,Books,0
